,Diện tích,Số tầng,Đường vào,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Quận_encoded
77,43.0,2,5.0,3.0,0,0,1,0,0,0,0,4,1.0,0.0,0.0,1.0,0.0,18.781854189609117
78,341.0,1,16.0,3.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0,0.0,22.79348057598528
79,80.0,4,8.0,3.0,0,0,0,0,0,0,1,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
80,53.0,3,7.0,0.0,1,0,0,0,1,0,0,7,0.0,0.0,0.0,0.0,1.0,8.442832785570205
81,208.0,2,5.0,3.0,0,0,0,0,0,0,0,2,0.0,0.0,1.0,0.0,0.0,24.61294356994541
82,84.0,6,20.0,3.0,0,0,0,0,0,0,0,25,0.0,0.0,0.0,1.0,0.0,44.69026545333514
83,55.0,2,7.0,0.0,1,0,1,0,0,0,1,6,0.0,0.0,0.0,0.0,1.0,18.781854189609117
84,78.0,4,10.0,0.0,1,0,0,0,0,0,0,12,0.0,0.0,0.0,1.0,0.0,11.23594537682606
85,87.0,4,,3.0,0,1,0,0,0,0,0,10,0.0,0.0,0.0,1.0,0.0,22.79348057598528
86,88.0,1,6.0,0.0,1,0,0,0,0,0,0,12,0.0,0.0,0.0,1.0,0.0,11.524548031698988
87,65.0,2,5.0,0.0,1,0,0,0,1,0,1,8,0.0,0.0,1.0,0.0,0.0,8.442832785570205
88,48.0,2,5.0,2.0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,1.0,0.0,44.69026545333514
89,28.0,7,,3.0,0,1,1,0,0,1,0,14,0.0,0.0,0.0,0.0,1.0,44.69026545333514
90,48.0,3,,2.0,0,1,1,0,0,0,0,9,1.0,0.0,0.0,1.0,0.0,44.69026545333514
91,65.0,5,,3.0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,44.69026545333514
92,66.0,4,6.0,3.0,0,0,0,1,1,0,1,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
93,73.0,3,,3.0,0,1,0,0,1,0,0,8,0.0,0.0,0.0,1.0,0.0,15.25688957809374
94,49.0,4,,0.0,1,1,1,0,0,0,0,6,0.0,0.0,0.0,1.0,0.0,18.781854189609117
95,266.0,2,,0.0,1,1,1,0,0,0,0,6,0.0,0.0,0.0,1.0,0.0,44.69026545333514
96,128.0,5,,0.0,1,1,0,1,0,1,1,8,0.0,0.0,0.0,1.0,0.0,44.69026545333514
97,57.0,4,12.0,3.0,0,0,0,1,0,1,0,9,0.0,0.0,0.0,0.0,1.0,9.226974492834636
98,51.0,4,8.0,0.0,1,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,11.524548031698988
99,61.0,3,,3.0,0,1,1,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,18.781854189609117
100,54.0,2,,0.0,1,1,1,0,0,0,0,5,0.0,0.0,0.0,1.0,0.0,8.442832785570205
101,17.0,4,,3.0,0,1,1,1,1,1,0,4,0.0,0.0,0.0,0.0,1.0,46.42285954678442
102,106.0,1,9.0,0.0,1,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,1.0,15.25688957809374
103,43.0,3,,0.0,1,1,0,1,0,0,0,9,0.0,0.0,0.0,1.0,0.0,12.664127058271283
104,84.0,2,,2.0,0,1,1,1,1,1,1,14,0.0,0.0,0.0,1.0,0.0,15.25688957809374
105,90.0,2,,3.0,0,1,0,0,0,0,0,10,0.0,0.0,0.0,1.0,0.0,13.674404235916532
106,25.0,2,5.0,2.0,0,0,1,1,1,1,0,5,0.0,0.0,0.0,1.0,0.0,15.25688957809374
107,78.0,3,6.0,2.0,0,0,1,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,11.23594537682606
108,91.0,2,4.0,0.0,1,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,11.524548031698988
109,41.0,4,,0.0,1,1,0,0,0,0,0,18,0.0,0.0,0.0,0.0,1.0,15.25688957809374
110,262.0,1,5.0,0.0,1,0,1,0,0,0,0,6,0.0,0.0,1.0,0.0,0.0,44.69026545333514
111,15.0,2,,3.0,0,1,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,17.074597659317714
112,236.0,2,16.0,3.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,12.664127058271283
113,525.0,5,,3.0,0,1,0,0,1,0,0,9,0.0,0.0,0.0,1.0,0.0,8.442832785570205
114,93.0,2,13.0,0.0,1,0,0,0,0,0,0,10,0.0,0.0,1.0,0.0,0.0,12.664127058271283
115,127.0,7,,0.0,1,1,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,44.69026545333514
116,77.0,4,8.0,3.0,0,0,1,1,1,1,0,10,0.0,0.0,0.0,1.0,0.0,18.781854189609117
117,26.0,3,2.0,3.0,0,0,1,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,11.504108090114467
118,37.0,3,3.0,0.0,1,0,0,0,0,0,1,4,0.0,0.0,1.0,0.0,0.0,18.781854189609117
119,52.0,3,20.0,3.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,9.226974492834636
120,65.0,4,,0.0,1,1,1,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,22.79348057598528
121,57.0,5,6.0,3.0,0,0,1,1,1,1,0,17,0.0,0.0,0.0,1.0,0.0,22.79348057598528
122,62.0,4,8.0,3.0,0,0,1,1,1,0,1,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
123,131.0,4,5.0,0.0,1,0,0,0,0,0,0,16,0.0,0.0,0.0,1.0,0.0,22.79348057598528
124,72.0,4,12.0,2.0,0,0,1,1,1,0,0,8,0.0,0.0,0.0,0.0,1.0,15.25688957809374
125,41.0,3,,3.0,0,1,0,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,44.69026545333514
126,48.0,2,,2.0,0,1,1,1,1,0,0,8,0.0,0.0,0.0,1.0,0.0,11.524548031698988
127,16.0,4,,3.0,0,1,1,1,1,1,1,4,0.0,0.0,0.0,1.0,0.0,46.42285954678442
128,160.0,5,,0.0,1,1,0,0,0,0,0,40,0.0,0.0,0.0,1.0,0.0,17.074597659317714
129,31.0,2,,3.0,0,1,0,1,0,0,0,6,0.0,0.0,0.0,1.0,0.0,13.674404235916532
130,36.0,3,,3.0,0,1,0,1,1,1,0,7,0.0,0.0,1.0,0.0,0.0,18.781854189609117
131,37.0,3,6.0,3.0,0,0,1,0,0,0,0,6,0.0,0.0,1.0,0.0,0.0,18.781854189609117
132,65.0,6,,3.0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,44.69026545333514
133,50.0,4,10.0,0.0,1,0,0,1,0,0,0,9,0.0,0.0,0.0,0.0,1.0,9.226974492834636
134,23.0,2,,0.0,1,1,0,1,1,0,1,4,0.0,0.0,0.0,1.0,0.0,15.25688957809374
135,343.0,5,,3.0,0,1,0,0,0,0,0,10,1.0,0.0,0.0,1.0,0.0,17.074597659317714
136,52.0,4,8.0,2.0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,1.0,0.0,11.23594537682606
137,55.0,2,,0.0,1,1,0,1,1,1,0,5,0.0,0.0,0.0,0.0,1.0,11.524548031698988
138,115.0,4,,0.0,1,1,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,13.674404235916532
139,195.0,3,20.0,0.0,1,0,0,0,1,0,0,19,0.0,0.0,0.0,1.0,0.0,24.61294356994541
140,44.0,3,4.0,0.0,1,0,1,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,8.442832785570205
141,119.0,4,,3.0,0,1,0,0,0,1,0,8,0.0,0.0,0.0,1.0,0.0,15.25688957809374
142,72.0,6,,3.0,0,1,0,0,0,0,0,30,0.0,0.0,0.0,1.0,0.0,22.79348057598528
